no,nombres,sexo,futbol,basquetbol,voleybol,atletismo,ajedrez,tenis
1,Adrián,M,1,0,1,1,1,0
2,Adriana,F,1,1,0,0,0,0
3,América,F,1,1,1,1,1,0
4,Ana,F,0,0,0,0,0,0
5,Angel,M,1,1,0,0,0,0
6,Angélica,F,1,1,1,0,0,0
7,Antonieta,F,0,0,0,0,0,1
8,Antonio,M,0,0,0,0,0,0
9,Aracely,F,0,0,0,0,0,1
10,Arcelia,F,0,0,0,0,1,1
11,Argelia,F,0,0,0,0,0,1
12,Armenia,F,0,0,1,0,0,1
13,Arnulfo,M,0,0,1,0,0,0
14,Arturo,M,0,0,0,0,0,0
15,Bety,F,1,1,0,0,0,0
16,Calixto,M,1,0,0,0,0,0
17,Carlos,M,1,0,0,0,0,0
18,Carmen,F,0,1,0,0,0,0
19,Consuelo,F,0,0,0,0,0,1
20,Dagoberto,M,0,0,1,0,0,0
21,Dalia,F,1,0,0,0,0,0
22,Dany,F,1,1,0,0,0,0
23,Eduardo,M,1,0,0,0,0,0
24,Efren,M,1,0,0,1,0,0
25,Eraclio,M,1,0,1,0,0,0
26,Ernestina,F,1,0,1,0,1,0
27,Ernesto,M,0,1,0,0,0,0
28,Fabián,M,0,1,1,0,0,0
29,Federico,M,0,0,0,1,0,0
30,Felipe,M,1,0,0,1,1,0
31,Fernanda,F,0,0,0,0,0,0
32,Fernando,M,1,0,0,1,0,0
33,Gabino,M,0,1,0,0,0,0
34,Gabriel,M,1,0,0,0,0,0
35,Gabriela,F,0,0,0,0,0,0
36,Genaro,M,0,0,1,0,0,1
37,Gerardina,F,1,1,0,0,1,1
38,Gerardo,M,1,0,1,0,0,1
39,Giovanni,M,0,1,0,0,1,1
40,Gonzalo,M,1,0,0,0,0,0
41,Guillermina,F,1,0,0,0,1,0
42,Guillermo,M,0,1,0,0,1,1
43,Heladio,M,0,1,0,1,0,0
44,Javier,M,0,1,0,0,0,0
45,Jeorgina,F,0,1,0,0,0,0
46,Joaquín,M,0,0,1,0,0,1
47,Jorge,M,1,1,0,0,0,0
48,Juan,M,1,0,0,1,0,0
49,Julieta,F,0,0,0,0,0,1
50,Julio,M,0,1,0,1,0,0
51,Lalo,M,0,0,1,0,0,0
52,Laura,F,0,1,0,0,0,0
53,Leonardo,M,0,0,1,0,0,1
54,Liliana,F,0,0,1,0,0,0
55,Lorenzo,M,1,0,1,0,0,0
56,Lucía,F,1,1,0,0,1,1
57,Lucy,F,1,0,1,1,0,0
58,Luis,M,0,0,1,0,0,0
59,Luisa,F,0,0,0,0,0,0
60,Lupita,F,1,1,0,0,0,0
61,Manuel,M,0,1,0,0,0,0
62,Marcela,F,0,0,0,1,0,0
63,Margarita,F,0,1,0,1,0,0
64,Margarito,M,0,0,0,0,0,1
65,Maria,F,0,1,0,0,0,0
66,Mario,M,1,1,0,0,1,0
67,Mary,F,1,1,1,1,0,1
68,Memo,M,1,0,0,0,1,0
69,Miguel,M,1,1,0,0,0,0
70,Mikaela,F,0,1,0,0,0,0
71,Orlando,M,1,0,0,0,0,0
72,Oscar,M,0,0,0,0,0,0
73,Otilia,F,1,0,0,1,0,0
74,Paco,M,1,0,1,0,1,0
75,Patricia,F,1,0,0,1,0,0
76,Paty,F,1,1,0,0,0,0
77,Pedro,M,1,1,0,0,0,0
78,Perla,F,0,0,0,0,0,0
79,Plácido,M,0,0,1,0,0,1
80,Raquel,F,1,1,0,0,0,0
81,Raul,M,1,0,0,0,0,0
82,Romualdo,M,1,0,0,0,0,0
83,Ronaldo,M,1,1,0,0,1,1
84,Rosario,F,0,0,0,0,0,0
85,Rubén,M,1,0,0,0,0,0
86,Rubý,F,1,1,0,0,0,0
87,Salvador,M,1,0,0,1,0,0
88,Sandra,F,0,0,0,0,0,0
89,Sandro,M,0,0,0,0,0,1
90,Sandy,F,0,1,0,0,0,0
91,Saul,M,1,0,1,0,0,0
92,Sotelo,M,0,0,1,1,0,0
93,Susana,F,0,0,0,0,0,0
94,Teobaldo,M,1,0,0,0,1,1
95,Teresa,F,0,0,0,0,0,0
96,Tiburcio,M,0,0,0,1,0,0
97,Verónica,F,1,1,1,0,0,0
98,Walter,F,1,1,0,0,0,0
99,Xóchitl,F,0,1,1,1,1,0
100,Yuri,F,1,0,0,0,0,0
